date,pnl,position
2004/11/09,0.000000,0.000000
2004/11/10,0.000000,0.000000
2004/11/11,0.000000,0.000000
2004/11/12,0.000000,0.000000
2004/11/15,0.000000,0.000000
2004/11/16,0.000000,0.000000
2004/11/17,0.000000,0.000000
2004/11/18,0.000000,0.000000
2004/11/19,0.000000,0.000000
2004/11/22,0.000000,0.000000
2004/11/23,0.000000,0.000000
2004/11/24,0.000000,0.000000
2004/11/25,0.000000,0.000000
2004/11/26,0.000000,0.000000
2004/11/29,0.000000,0.000000
2004/11/30,0.000000,0.000000
2004/12/01,0.000000,0.000000
2004/12/02,0.000000,0.000000
2004/12/03,0.000000,0.000000
2004/12/06,0.000000,0.000000
2004/12/07,0.000000,0.000000
2004/12/08,0.000000,0.000000
2004/12/09,0.000000,0.000000
2004/12/10,0.000000,0.000000
2004/12/13,0.000000,0.000000
2004/12/14,0.000000,0.000000
2004/12/15,0.000000,0.000000
2004/12/16,0.000000,0.000000
2004/12/17,0.000000,0.000000
2004/12/20,0.000000,0.000000
2004/12/21,0.000000,0.000000
2004/12/22,0.000000,0.000000
2004/12/23,0.000000,0.000000
2004/12/27,0.000000,0.000000
2004/12/28,0.000000,0.000000
2004/12/29,0.000000,0.000000
2004/12/30,0.000000,0.000000
2004/12/31,0.000000,0.000000
2005/01/03,0.000000,0.000000
2005/01/04,0.000000,0.000000
2005/01/05,0.000000,0.000000
2005/01/06,0.000000,0.000000
2005/01/07,0.000000,0.000000
2005/01/10,0.000000,0.000000
2005/01/11,0.000000,0.000000
2005/01/12,0.000000,0.000000
2005/01/13,0.000000,0.000000
2005/01/14,0.000000,0.000000
2005/01/17,0.000000,0.000000
2005/01/18,0.000000,0.000000
2005/01/19,0.000000,0.000000
2005/01/20,0.000000,0.000000
2005/01/21,0.000000,0.000000
2005/01/24,0.000000,0.000000
2005/01/25,0.000000,0.000000
2005/01/26,0.000000,0.000000
2005/01/27,0.000000,0.000000
2005/01/28,0.000000,0.000000
2005/01/31,0.000000,0.000000
2005/02/01,0.000000,0.000000
2005/02/02,0.000000,0.000000
2005/02/03,0.000000,0.000000
2005/02/04,0.000000,0.000000
2005/02/07,0.000000,0.000000
2005/02/08,0.000000,0.000000
2005/02/09,0.000000,0.000000
2005/02/10,0.000000,0.000000
2005/02/11,0.000000,0.000000
2005/02/14,0.000000,0.000000
2005/02/15,0.000000,0.000000
2005/02/16,0.000000,0.000000
2005/02/17,0.000000,0.000000
2005/02/18,0.000000,0.000000
2005/02/21,0.000000,0.000000
2005/02/22,0.000000,0.000000
2005/02/23,0.000000,0.000000
2005/02/24,0.000000,0.000000
2005/02/25,0.000000,0.000000
2005/02/28,0.000000,0.000000
2005/03/01,0.000000,0.000000
2005/03/02,0.000000,0.000000
2005/03/03,0.000000,0.000000
2005/03/04,0.000000,0.000000
2005/03/07,0.000000,0.000000
2005/03/08,0.000000,0.000000
2005/03/09,0.000000,0.000000
2005/03/10,0.000000,0.000000
2005/03/11,0.000000,0.000000
2005/03/14,0.000000,0.000000
2005/03/15,0.000000,0.000000
2005/03/16,0.000000,0.000000
2005/03/17,0.000000,0.000000
2005/03/18,0.000000,0.000000
2005/03/21,0.000000,0.000000
2005/03/22,0.000000,0.000000
2005/03/23,0.000000,0.000000
2005/03/24,0.000000,0.000000
2005/03/28,0.000000,0.000000
2005/03/29,0.000000,0.000000
2005/03/30,0.000000,0.000000
2005/03/31,1299.909300,3.000000
2005/04/01,235.657500,3.000000
2005/04/04,-1594.686900,3.000000
2005/04/05,309.001200,3.000000
2005/04/06,1416.722100,3.000000
2005/04/07,651.072900,3.000000
2005/04/08,56.294100,3.000000
2005/04/11,-357.174300,3.000000
2005/04/12,-112.376100,3.000000
2005/04/13,561.396600,3.000000
2005/04/14,-2132.441400,3.000000
2005/04/15,-69.722700,3.000000
2005/04/18,-609.741300,3.000000
2005/04/19,1033.603800,3.000000
2005/04/20,585.335100,3.000000
2005/04/21,-377.232000,3.000000
2005/04/22,731.079600,3.000000
2005/04/25,-926.866800,3.000000
2005/04/26,-171.038100,3.000000
2005/04/27,-701.952600,3.000000
2005/04/28,-1953.912600,3.000000
2005/04/29,421.339200,3.000000
2005/05/02,969.549300,3.000000
2005/05/03,1563.612300,3.000000
2005/05/04,1995.265800,3.000000
2005/05/05,51.657900,3.000000
2005/05/06,-885.356700,3.000000
2005/05/09,174.783000,3.000000
2005/05/10,-967.264200,3.000000
2005/05/11,137.055600,3.000000
2005/05/12,14.377200,3.000000
2005/05/13,-569.270400,3.000000
2005/05/16,-1020.818700,3.000000
2005/05/17,139.080000,3.000000
2005/05/18,1407.811200,3.000000
2005/05/19,181.374900,3.000000
2005/05/20,-1274.596200,3.000000
2005/05/23,-1271.746800,3.000000
2005/05/24,-734.610900,3.000000
2005/05/25,580.403400,3.000000
2005/05/26,396.198300,3.000000
2005/05/27,1617.273900,3.000000
2005/05/31,258.476400,3.000000
2005/06/01,795.442500,3.000000
2005/06/02,1865.727300,3.000000
2005/06/03,-1998.495900,3.000000
2005/06/06,-296.006700,3.000000
2005/06/07,-204.312000,3.000000
2005/06/08,297.404400,3.000000
2005/06/09,380.799600,3.000000
2005/06/10,-787.153500,3.000000
2005/06/13,-727.885200,3.000000
2005/06/14,-484.499700,3.000000
2005/06/15,1473.687300,3.000000
2005/06/16,321.129000,3.000000
2005/06/17,357.101100,3.000000
2005/06/20,-1136.367600,3.000000
2005/06/21,1685.640300,3.000000
2005/06/22,-30.274800,3.000000
2005/06/23,252.474300,3.000000
2005/06/24,374.224800,3.000000
2005/06/27,-817.583400,3.000000
2005/06/28,1065.712500,3.000000
2005/06/29,-135.209700,3.000000
2005/06/30,1498.263000,3.000000
2005/07/01,-141.460800,3.000000
2005/07/04,-71.922600,3.000000
2005/07/05,-1043.366100,3.000000
2005/07/06,-344.993700,3.000000
2005/07/07,-592.119000,3.000000
2005/07/08,396.833700,3.000000
2005/07/11,984.209100,3.000000
2005/07/12,1222.881600,3.000000
2005/07/13,-1176.296400,3.000000
2005/07/14,1018.856700,3.000000
2005/07/15,-584.446200,3.000000
2005/07/18,-217.717800,3.000000
