Date,fncl_5.0_1n_price:testPrice,fncl_5.5_1n_price:testPrice,fncl_5.5_2n_price:testPrice,fncl_6.0_1n_price:testPrice,fncl_6.0_2n_price:testPrice,fncl_6.5_1n_price:testPrice,fncl_7.0_1n_price:testPrice,fncl_7.0_2n_price:testPrice
2008-01-01 15:00:00,100,100,NA,99,98.20697,101,110,109
2008-01-02 15:00:00,101,NA,99.99288,98,97.53877,101.25,110,108
2008-01-03 15:00:00,102,100,99.66841,97,NA,101.5,110,107
2008-01-04 15:00:00,103,100,99.15147,96,95.84094,101.75,110,109
2008-01-05 15:00:00,104,100,99.71436,95,94.7566,102,110,108
2008-01-06 15:00:00,105,100,99.0451,94,93.51063,102.25,110,107
2008-01-07 15:00:00,106,100,NA,93,92.47964,102.5,110,109
2008-01-08 15:00:00,107,100,99.33913,92,91.15899,102.75,110,108
2008-01-09 15:00:00,108,100,99.10332,91,90.15852,103,110,107
2008-01-10 15:00:00,109,100,99.89642,90,89.61835,103.25,110,109
2008-01-11 15:00:00,110,100,99.08178,89,88.77573,103.5,110,108
2008-01-12 15:00:00,111,100,99.70904,88,87.44382,103.75,110,107
2008-01-13 15:00:00,112,100,99.03897,87,NA,104,110,109
2008-01-14 15:00:00,113,100,99.04747,86,85.58082,104.25,110,108
2008-01-15 15:00:00,114,100,99.75905,85,84.3315,104.5,110,107
2008-01-16 15:00:00,115,100,99.33045,84,83.47458,104.75,110,109
2008-01-17 15:00:00,116,100,99.30847,83,82.72907,105,110,108
2008-01-18 15:00:00,117,100,99.88305,82,81.83796,105.25,110,107
2008-01-19 15:00:00,118,100,99.78961,81,80.20752,105.5,110,109
2008-01-20 15:00:00,119,NA,99.72898,80,79.72807,105.75,110,108
