Date,fnci_fncl_cc_1c_tri_vFuturesTY:test
2007-01-03 15:00:00,100
2007-01-04 15:00:00,101.058882102376
2007-01-05 15:00:00,101.527612992293
2007-01-08 15:00:00,102.723535115955
2007-01-09 15:00:00,102.242013335610
2007-01-11 15:00:00,101.229516238352
2007-01-16 15:00:00,97.3677183412086
2007-01-19 15:00:00,83.3527403412086
2007-01-23 15:00:00,84.0106616461243
2007-01-25 15:00:00,83.5558065241074
2007-01-26 15:00:00,84.1701779468911
2007-01-31 15:00:00,84.9423598881386
2007-02-01 15:00:00,84.5883952164477
2007-02-02 15:00:00,83.7836410977574
2007-02-05 15:00:00,83.1473664188629
2007-02-06 15:00:00,82.5463421475328
