Dates,fncl_5.0_1c_tri_vFuturesTY:test,fncl_5.5_1c_tri_vFuturesTY:test,fncl_6.0_1c_tri_vFuturesTY:test
2007-01-01 15:00:00,NA,NA,110
2007-01-02 15:00:00,99.183001,90.58839,110.946863
2007-01-03 15:00:00,99.263561,90.43375,110.273815
2007-01-04 15:00:00,99.094856,90.965146,110.621921
2007-01-05 15:00:00,98.569392,91.499004,111.249607
2007-01-08 15:00:00,99.180613,90.515345,111.037835
2007-01-09 15:00:00,98.899017,91.397511,NA
2007-01-10 15:00:00,98.939384,NA,111.776717
2007-01-11 15:00:00,98.036608,92.948418,111.481236
2007-01-12 15:00:00,98.980151,93.741815,111.798069
2007-01-15 15:00:00,99.54492,93.580969,112.109369
2007-01-16 15:00:00,86.912221,102.063309,117.223362
2007-01-17 15:00:00,99.36411,95.006198,111.455309
2007-01-18 15:00:00,100.280543,94.351425,111.803247
2007-01-19 15:00:00,100.463843,94.375334,111.557998
2007-01-22 15:00:00,NA,NA,111.072969
2007-01-23 15:00:00,100.607537,94.88839,110.865682
2007-01-24 15:00:00,100.05348,95.694494,110.178575
2007-01-25 15:00:00,99.230738,96.26558,111.108662
2007-01-26 15:00:00,98.42936,96.87602,110.857502
2007-01-29 15:00:00,99.294953,97.017823,110.40164
2007-01-30 15:00:00,99.78705,97.960422,NA
2007-01-31 15:00:00,99.957417,97.519557,109.476808
2007-02-01 15:00:00,100.268299,98.415401,109.836154
2007-02-02 15:00:00,100.093313,99.059437,109.563376
2007-02-05 15:00:00,100.75789,99.594396,109.991952
2007-02-06 15:00:00,101.190343,99.262838,110.743883
2007-02-07 15:00:00,101.452667,100.078639,NA
